Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Alpine,2016,All Other Buses,1980,5,DSL,0.000501597357074,7.94250799334e-09,9.04194075648e-09,7.71031873277e-09,1.69837583421e-08,1.43620996483e-06,2.05243420033e-09,1.96364680534e-09
Alpine,2016,All Other Buses,1980,10,DSL,0.00249676268486,3.19769851978e-08,3.64033635183e-08,3.58815977584e-08,7.43888649683e-08,6.49124297271e-06,8.96598287369e-09,8.57811842342e-09
Alpine,2016,All Other Buses,1980,15,DSL,0.00336976302993,2.60692746738e-08,2.96778847894e-08,4.21348783487e-08,7.92383055339e-08,7.1934788506e-06,9.28704721733e-09,8.88529366567e-09
Alpine,2016,All Other Buses,1980,20,DSL,0.00357375615666,1.42081750188e-08,1.61749257144e-08,3.86461361972e-08,7.03258482265e-08,6.26045728883e-06,7.65815743642e-09,7.32686893565e-09
Alpine,2016,All Other Buses,1980,25,DSL,0.00372192530632,1.06594599956e-08,1.21349837931e-08,3.46192230414e-08,6.65336021479e-08,5.84819113849e-06,6.96402067668e-09,6.66276022487e-09
Alpine,2016,All Other Buses,1980,30,DSL,0.00447531364564,1.12022400525e-08,1.27528975708e-08,3.56525204063e-08,7.44829338994e-08,6.60057284791e-06,7.58059767188e-09,7.25266437219e-09
Alpine,2016,All Other Buses,1980,35,DSL,0.00527698421108,1.16339723589e-08,1.32443919376e-08,3.59311974071e-08,8.26552154258e-08,7.36080239664e-06,8.14905509309e-09,7.79653057699e-09
Alpine,2016,All Other Buses,1980,40,DSL,0.00655055441719,1.28954082493e-08,1.46804406767e-08,3.81837928542e-08,9.79168451142e-08,8.7206908581e-06,9.31660779616e-09,8.91357546695e-09
Alpine,2016,All Other Buses,1980,45,DSL,0.00536403547452,9.62803117386e-09,1.09607805933e-08,2.69631006431e-08,7.77049457533e-08,6.8879162077e-06,7.12272020659e-09,6.81459448337e-09
Alpine,2016,All Other Buses,1980,50,DSL,0.0060032280098,1.01072653675e-08,1.15063522428e-08,2.64243754083e-08,8.58222343972e-08,7.52380508464e-06,7.57051575879e-09,7.2430185982e-09
Alpine,2016,All Other Buses,1980,55,DSL,0.00879718664312,1.43811478738e-08,1.63718421428e-08,3.4786208951e-08,1.26350563732e-07,1.08987779401e-05,1.07491684539e-08,1.02841641848e-08
Alpine,2016,All Other Buses,1980,60,DSL,0.0105712939941,1.72702498763e-08,1.96608648504e-08,4.014003128e-08,1.53162146765e-07,1.30856072336e-05,1.2819229511e-08,1.22646753168e-08
Alpine,2016,All Other Buses,1980,65,DSL,0.00166362110855,2.71784629772e-09,3.09406112399e-09,6.31689965034e-09,2.41077249839e-08,2.05930252476e-06,2.01738224494e-09,1.93011118203e-09
Alpine,2016,All Other Buses,1980,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,All Other Buses,1980,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,All Other Buses,1980,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,All Other Buses,1980,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,All Other Buses,1980,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpine,2016,All Other Buses,1981,5,DSL,0.000561295861723,8.8877997571e-09,1.01180834727e-08,8.62797607729e-09,1.9005110652e-08,1.60714305699e-06,2.29670831964e-09,2.19735373438e-09
