Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Calaveras,2016,All Other Buses,1972,5,DSL,0.00114954714007,1.82024231586e-08,2.07220731742e-08,1.7670298145e-08,3.88101982597e-08,3.2914668196e-06,4.70371271277e-09,4.50023218294e-09
Calaveras,2016,All Other Buses,1972,10,DSL,0.00572201261297,7.32839823887e-08,8.34282354784e-08,8.22324669429e-08,1.70002001118e-07,1.48764535728e-05,2.05479949704e-08,1.96590978037e-08
Calaveras,2016,All Other Buses,1972,15,DSL,0.00772273098957,5.97448525641e-08,6.80149667891e-08,9.65635648189e-08,1.80764086718e-07,1.64858186018e-05,2.1283801475e-08,2.03630736446e-08
Calaveras,2016,All Other Buses,1972,20,DSL,0.00819023687276,3.2561907929e-08,3.70692535228e-08,8.85681607241e-08,1.60448811084e-07,1.4347545238e-05,1.7550756309e-08,1.679151836e-08
Calaveras,2016,All Other Buses,1972,25,DSL,0.00852980688811,2.44290596427e-08,2.78106248317e-08,7.93393910022e-08,1.5181768714e-07,1.34027249207e-05,1.59599526181e-08,1.52695321326e-08
Calaveras,2016,All Other Buses,1972,30,DSL,0.0102564017328,2.56729881709e-08,2.92267427716e-08,8.17074737163e-08,1.69982365166e-07,1.51270127984e-05,1.73730069563e-08,1.66214583656e-08
Calaveras,2016,All Other Buses,1972,35,DSL,0.0120936484662,2.66624204936e-08,3.03531361542e-08,8.23461380647e-08,1.8882848348e-07,1.68692861402e-05,1.86757821675e-08,1.78678760979e-08
Calaveras,2016,All Other Buses,1972,40,DSL,0.0150123819234,2.9553344857e-08,3.3644233481e-08,8.75085748628e-08,2.23897289908e-07,1.99858414203e-05,2.13515476032e-08,2.04278891053e-08
Calaveras,2016,All Other Buses,1972,45,DSL,0.0122931501771,2.2065259205e-08,2.5119617969e-08,6.17932985382e-08,1.77573408718e-07,1.57855384721e-05,1.63236558716e-08,1.56175017444e-08
Calaveras,2016,All Other Buses,1972,50,DSL,0.0137580341932,2.31635550571e-08,2.63699441928e-08,6.05586627408e-08,1.96438054704e-07,1.72428512541e-05,1.73499015029e-08,1.65993524439e-08
Calaveras,2016,All Other Buses,1972,55,DSL,0.0201611523738,3.29583223995e-08,3.75205412219e-08,7.97220847546e-08,2.89805479842e-07,2.49775219796e-05,2.46346510404e-08,2.35689669411e-08
Calaveras,2016,All Other Buses,1972,60,DSL,0.0242270032056,3.95794875581e-08,4.50582337433e-08,9.19918287235e-08,3.51668585528e-07,2.99892377009e-05,2.93787605026e-08,2.81078483279e-08
Calaveras,2016,All Other Buses,1972,65,DSL,0.00381264147531,6.22868600607e-09,7.09088488231e-09,1.44768983025e-08,5.51742999761e-08,4.71945335134e-06,4.62338159759e-09,4.42337615624e-09
Calaveras,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1974,5,DSL,0.00145225014614,2.29955525709e-08,2.61786861509e-08,2.23233064299e-08,4.90298432571e-08,4.15818804045e-06,5.9423117473e-09,5.68524997151e-09
Calaveras,2016,All Other Buses,1974,10,DSL,0.00722875414478,9.25813917707e-08,1.05396867116e-07,1.03886224386e-07,2.14767557033e-07,1.87937763682e-05,2.59587690305e-08,2.4835804173e-08
Calaveras,2016,All Other Buses,1974,15,DSL,0.00975630908665,7.5477088188e-08,8.59249194888e-08,1.21991039977e-07,2.28363554832e-07,2.08269253509e-05,2.68883308262e-08,2.57251535369e-08
Calaveras,2016,All Other Buses,1974,20,DSL,0.0103469203487,4.11362299989e-08,4.68304665109e-08,1.11890256494e-07,2.02698785654e-07,1.81255939338e-05,2.21722863953e-08,2.12131231005e-08
Calaveras,2016,All Other Buses,1974,25,DSL,0.0107759071969,3.08618100116e-08,3.51338214574e-08,1.00231332984e-07,1.9179488222e-07,1.69319800348e-05,2.01625863908e-08,1.92903618286e-08
Calaveras,2016,All Other Buses,1974,30,DSL,0.0129571553841,3.24332944022e-08,3.69228368127e-08,1.03222988e-07,2.1474275047e-07,1.91103137761e-05,2.19477314255e-08,2.09982822793e-08
Calaveras,2016,All Other Buses,1974,35,DSL,0.0152781927249,3.36832677048e-08,3.83458362682e-08,1.04029827808e-07,2.38551498386e-07,2.13113689804e-05,2.35935582254e-08,2.25729113404e-08
Calaveras,2016,All Other Buses,1974,40,DSL,0.0189654978749,3.73354409675e-08,4.25035575197e-08,1.10551656564e-07,2.82854752672e-07,2.52485871277e-05,2.69739161155e-08,2.58070364445e-08
Calaveras,2016,All Other Buses,1974,45,DSL,0.0155302279645,2.78755648969e-08,3.17342087112e-08,7.80649385349e-08,2.24332695695e-07,1.99422448666e-05,2.06220613307e-08,1.9729960086e-08
Calaveras,2016,All Other Buses,1974,50,DSL,0.0173808506595,2.92630680763e-08,3.33137754624e-08,7.65051938714e-08,2.48164850059e-07,2.17833026422e-05,2.19185417586e-08,2.09703553445e-08
Calaveras,2016,All Other Buses,1974,55,DSL,0.02547006161,4.16370297945e-08,4.74005889567e-08,1.00714799072e-07,3.66118131029e-07,3.15546954802e-05,3.11215384968e-08,2.97752345176e-08
Calaveras,2016,All Other Buses,1974,60,DSL,0.0306065473258,5.00017046599e-08,5.69231345611e-08,1.16215457418e-07,4.44271258589e-07,3.78861147279e-05,3.7114884415e-08,3.55093109443e-08
Calaveras,2016,All Other Buses,1974,65,DSL,0.00481660033477,7.86884665036e-09,8.95808292469e-09,1.82890087258e-08,6.97030007822e-08,5.96219726906e-06,5.84082754566e-09,5.58815593151e-09
Calaveras,2016,All Other Buses,1974,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1974,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1974,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1974,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1974,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1976,5,DSL,0.00381467437798,6.04031925443e-08,6.87644367429e-08,5.86373809613e-08,1.28788340856e-07,1.09224525946e-05,1.56088704337e-08,1.49336376081e-08
Calaveras,2016,All Other Buses,1976,10,DSL,0.0189880120131,2.43186660373e-07,2.76849501153e-07,2.72881445007e-07,5.64137176515e-07,4.93662454556e-05,6.81867730348e-08,6.52370434166e-08
Calaveras,2016,All Other Buses,1976,15,DSL,0.0256272257197,1.98258209993e-07,2.25701880407e-07,3.20437973983e-07,5.99850241916e-07,5.47067863754e-05,7.06284843159e-08,6.75731273485e-08
Calaveras,2016,All Other Buses,1976,20,DSL,0.0271786042165,1.08053921014e-07,1.23011163871e-07,2.93905905763e-07,5.32435728196e-07,4.76111081474e-05,5.82406915492e-08,5.57212250133e-08
Calaveras,2016,All Other Buses,1976,25,DSL,0.028305438421,8.10657559391e-08,9.22871923068e-08,2.63281018648e-07,5.03794077747e-07,4.44758023121e-05,5.29617448504e-08,5.0670643212e-08
Calaveras,2016,All Other Buses,1976,30,DSL,0.03403499651,8.51936269233e-08,9.69864592036e-08,2.71139299652e-07,5.6407201628e-07,5.01977049277e-05,5.76508454458e-08,5.51568953913e-08
Calaveras,2016,All Other Buses,1976,35,DSL,0.0401317434773,8.84769739029e-08,1.00724299807e-07,2.73258652953e-07,6.2661125643e-07,5.59792907754e-05,6.19739941408e-08,5.92930265874e-08
Calaveras,2016,All Other Buses,1976,40,DSL,0.0498173121218,9.80702604357e-08,1.11645526271e-07,2.90389760235e-07,7.4298410682e-07,6.63213143082e-05,7.08532940783e-08,6.77882119401e-08
Calaveras,2016,All Other Buses,1976,45,DSL,0.0407937729309,7.32216853046e-08,8.33573149902e-08,2.05055803671e-07,5.89262248441e-07,5.23829663466e-05,5.41686631526e-08,5.18253507627e-08
Calaveras,2016,All Other Buses,1976,50,DSL,0.0456548659022,7.68662866439e-08,8.75064161833e-08,2.00958769823e-07,6.51862971095e-07,5.72189348219e-05,5.75741719645e-08,5.50835387709e-08
Calaveras,2016,All Other Buses,1976,55,DSL,0.0669030687912,1.09369388707e-07,1.24508723704e-07,2.64550955304e-07,9.61694827483e-07,8.28857815395e-05,8.17479935002e-08,7.82116114876e-08
Calaveras,2016,All Other Buses,1976,60,DSL,0.0803952488438,1.3134116194e-07,1.4952191501e-07,3.05267056725e-07,1.16698228024e-06,9.95167337514e-05,9.74909171097e-08,9.32735031904e-08
Calaveras,2016,All Other Buses,1976,65,DSL,0.0126519263468,2.0669364559e-08,2.35304981718e-08,4.80403552861e-08,1.83091220104e-07,1.56611044036e-05,1.53422984628e-08,1.46785974226e-08
Calaveras,2016,All Other Buses,1976,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1976,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1976,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1976,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1976,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1979,5,DSL,0.00135262373746,2.14180252254e-08,2.43827913514e-08,2.0791896118e-08,4.56663268447e-08,3.87293047504e-06,5.53466077879e-09,5.29523380345e-09
Calaveras,2016,All Other Buses,1979,10,DSL,0.00673285141305,8.62301776933e-08,9.81664933516e-08,9.67594828436e-08,2.00034199654e-07,1.75044967975e-05,2.41779608557e-08,2.31320329716e-08
Calaveras,2016,All Other Buses,1979,15,DSL,0.00908701252036,7.0299253465e-08,8.00303488001e-08,1.13622282546e-07,2.12697492825e-07,1.93981688919e-05,2.50437534009e-08,2.39603717145e-08
Calaveras,2016,All Other Buses,1979,20,DSL,0.00963710701668,3.83142265913e-08,4.36178304459e-08,1.04214427059e-07,1.88793363017e-07,1.68821526207e-05,2.06512362708e-08,1.97578729311e-08
Calaveras,2016,All Other Buses,1979,25,DSL,0.0100366647619,2.87446463089e-08,3.27235917432e-08,9.33553221482e-08,1.7863748274e-07,1.5770422319e-05,1.87794045216e-08,1.79670157948e-08
Calaveras,2016,All Other Buses,1979,30,DSL,0.0120682762465,3.02083246535e-08,3.43898781214e-08,9.61417454097e-08,2.00011094856e-07,1.77993192927e-05,2.04420860887e-08,1.95577704933e-08
Calaveras,2016,All Other Buses,1979,35,DSL,0.0142300871515,3.13725480243e-08,3.57152578069e-08,9.68932348683e-08,2.22186529079e-07,1.9849379005e-05,2.19750068483e-08,2.10243777795e-08
Calaveras,2016,All Other Buses,1979,40,DSL,0.0176644379666,3.47741770491e-08,3.95877535153e-08,1.02967656972e-07,2.63450517623e-07,2.35164984332e-05,2.51234674186e-08,2.40366373392e-08
Calaveras,2016,All Other Buses,1979,45,DSL,0.0144648324181,2.59632618217e-08,2.95571972271e-08,7.27095736274e-08,2.08943156311e-07,1.85741787368e-05,1.92073588325e-08,1.83764569917e-08
Calaveras,2016,All Other Buses,1979,50,DSL,0.0161884997856,2.72555803257e-08,3.10284034709e-08,7.12568296481e-08,2.31140391266e-07,2.02889373519e-05,2.04148988741e-08,1.95317593856e-08
Calaveras,2016,All Other Buses,1979,55,DSL,0.0237227794536,3.87806708144e-08,4.41488416876e-08,9.38056217798e-08,3.41001910769e-07,2.9389998857e-05,2.89865570537e-08,2.77326114266e-08
Calaveras,2016,All Other Buses,1979,60,DSL,0.0285068950035,4.65715171843e-08,5.30181272304e-08,1.08242913098e-07,4.13793623529e-07,3.52870738127e-05,3.45687509872e-08,3.30733221216e-08
Calaveras,2016,All Other Buses,1979,65,DSL,0.00448617475716,7.32903266979e-09,8.34354579915e-09,1.70343569274e-08,6.49212766005e-08,5.5531821257e-06,5.44013853654e-09,5.20480055156e-09
Calaveras,2016,All Other Buses,1979,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1979,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1979,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1979,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1979,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calaveras,2016,All Other Buses,1981,5,DSL,0.00423945107608,6.71292892283e-08,7.64215858184e-08,6.51668486438e-08,1.43129351585e-07,1.21387040721e-05,1.73469701474e-08,1.65965478975e-08
Calaveras,2016,All Other Buses,1981,10,DSL,0.021102390397,2.70266305024e-07,3.07677615251e-07,3.03267702836e-07,6.26955730177e-07,5.48633413188e-05,7.57795973323e-08,7.2501405496e-08
Calaveras,2016,All Other Buses,1981,15,DSL,0.0284809026641,2.20334922045e-07,2.5083453657e-07,3.56119809717e-07,6.66645564365e-07,6.07985692585e-05,7.84932012975e-08,7.50976201549e-08
Calaveras,2016,All Other Buses,1981,20,DSL,0.0302050323239,1.20086085031e-07,1.367088667e-07,3.26633307327e-07,5.91724219995e-07,5.29127636252e-05,6.47259865443e-08,6.19259690177e-08
Calaveras,2016,All Other Buses,1981,25,DSL,0.0314573432704,9.00926978809e-08,1.02563678565e-07,2.92598237024e-07,5.59893226367e-07,4.94283310419e-05,5.88592115473e-08,5.63129881101e-08
Calaveras,2016,All Other Buses,1981,30,DSL,0.0378249067369,9.46802210486e-08,1.07786224483e-07,3.01331563793e-07,6.26883314134e-07,5.57873865725e-05,6.40704591126e-08,6.12987994126e-08
Calaveras,2016,All Other Buses,1981,35,DSL,0.0446005467864,9.83291796507e-08,1.11940286088e-07,3.03686914143e-07,6.96386506982e-07,6.2212771262e-05,6.88750048146e-08,6.58955025942e-08
Calaveras,2016,All Other Buses,1981,40,DSL,0.0553646357606,1.08990710593e-07,1.24077627496e-07,3.22725627282e-07,8.25717861885e-07,7.37064135629e-05,7.87430443757e-08,7.53366551321e-08
Calaveras,2016,All Other Buses,1981,45,DSL,0.0453362954248,8.13751638539e-08,9.26394296653e-08,2.2788945042e-07,6.54878562551e-07,5.82159841292e-05,6.02005242225e-08,5.75962761927e-08
Calaveras,2016,All Other Buses,1981,50,DSL,0.0507386872901,8.54256036919e-08,9.72505470962e-08,2.23336198207e-07,7.24450084185e-07,6.35904538022e-05,6.39852477838e-08,6.12172742881e-08
