Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Humboldt,2016,All Other Buses,1972,5,DSL,0.00540476783072,8.55814152373e-08,9.742792668e-08,8.30795498895e-08,1.826855536e-07,1.54753235969e-05,2.21152089104e-08,2.11585147624e-08
Humboldt,2016,All Other Buses,1972,10,DSL,0.0269028982107,3.44555605174e-07,3.92250328474e-07,3.86628243839e-07,8.00219055942e-07,6.9943871724e-05,9.66094719662e-08,9.24301889737e-08
Humboldt,2016,All Other Buses,1972,15,DSL,0.0363095749299,2.80899361092e-07,3.19782540182e-07,4.54008044178e-07,8.5064676107e-07,7.75105421398e-05,1.00068976311e-07,9.57400366918e-08
Humboldt,2016,All Other Buses,1972,20,DSL,0.0385076237703,1.53094680808e-07,1.74286640335e-07,4.16416455857e-07,7.55024238346e-07,6.74571300727e-05,8.25175060659e-08,7.89478352803e-08
Humboldt,2016,All Other Buses,1972,25,DSL,0.040104162991,1.14856878061e-07,1.30755812619e-07,3.73026014551e-07,7.14459078073e-07,6.30149160227e-05,7.50381045573e-08,7.17919893702e-08
Humboldt,2016,All Other Buses,1972,30,DSL,0.0482220069209,1.20705394106e-07,1.37413902939e-07,3.84159909654e-07,7.99936334683e-07,7.11219134025e-05,8.16817908963e-08,7.8148272779e-08
Humboldt,2016,All Other Buses,1972,35,DSL,0.0568600972574,1.25357358172e-07,1.42709809915e-07,3.87162685621e-07,8.8873420275e-07,7.93134721318e-05,8.78069834236e-08,8.4008492189e-08
Humboldt,2016,All Other Buses,1972,40,DSL,0.0705829591965,1.38949471497e-07,1.58183396287e-07,4.11434654436e-07,1.05388603827e-06,9.39664229622e-05,1.00387494866e-07,9.60447762753e-08
Humboldt,2016,All Other Buses,1972,45,DSL,0.0577980843932,1.03743116721e-07,1.18103641327e-07,2.9053043625e-07,8.35868949703e-07,7.42180703607e-05,7.67481098074e-08,7.34280205502e-08
Humboldt,2016,All Other Buses,1972,50,DSL,0.0646854557152,1.08906918954e-07,1.23982237095e-07,2.84725611369e-07,9.2478362165e-07,8.10698443933e-05,8.15731571509e-08,7.80443384814e-08
Humboldt,2016,All Other Buses,1972,55,DSL,0.0947906736331,1.54958482737e-07,1.76408436957e-07,3.74825306472e-07,1.36478139605e-06,0.000117435555778,1.1582349677e-07,1.1081302357e-07
Humboldt,2016,All Other Buses,1972,60,DSL,0.113906879497,1.86088881138e-07,2.1184802585e-07,4.32513343076e-07,1.65647361622e-06,0.000140998886905,1.3812863704e-07,1.32153253345e-07
Humboldt,2016,All Other Buses,1972,65,DSL,0.0179257041991,2.92850989576e-08,3.33388559437e-08,6.80653028542e-08,2.5977787405e-07,2.21892158772e-05,2.17375201563e-08,2.07971646566e-08
Humboldt,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
