Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
San Benito,2016,All Other Buses,1972,5,DSL,0.00028778565399,4.55692165229e-09,5.18770842239e-09,4.42370576257e-09,9.70600521872e-09,8.24008775498e-07,1.17756026877e-09,1.1266195328e-09
San Benito,2016,All Other Buses,1972,10,DSL,0.00143248857273,1.83464236164e-08,2.08860067339e-08,2.05866496932e-08,4.25146934305e-08,3.7242752135e-06,5.14412846993e-09,4.9215957494e-09
San Benito,2016,All Other Buses,1972,15,DSL,0.00193336237459,1.49569433635e-08,1.70273414776e-08,2.41743967554e-08,4.52104585165e-08,4.12717488696e-06,5.32833540564e-09,5.09783397461e-09
San Benito,2016,All Other Buses,1972,20,DSL,0.00205040106021,8.15177528776e-09,9.28017564148e-09,2.21727714926e-08,4.01282933299e-08,3.5918646096e-06,4.39377882502e-09,4.20370589798e-09
San Benito,2016,All Other Buses,1972,25,DSL,0.00213541138779,6.11574128681e-09,6.96230591692e-09,1.98623768708e-08,3.79706491639e-08,3.35533169725e-06,3.99552592647e-09,3.82268124353e-09
San Benito,2016,All Other Buses,1972,30,DSL,0.00256765919149,6.42715503621e-09,7.3168267654e-09,2.04552192248e-08,4.25122263374e-08,3.78700195875e-06,4.34927981153e-09,4.16113189211e-09
San Benito,2016,All Other Buses,1972,35,DSL,0.00302760836129,6.67485642935e-09,7.59881594614e-09,2.06151069151e-08,4.72221689078e-08,4.22317482685e-06,4.67542565026e-09,4.47316880623e-09
San Benito,2016,All Other Buses,1972,40,DSL,0.00375830446545,7.39859061088e-09,8.42273222023e-09,2.1907507373e-08,5.59891538507e-08,5.0033950268e-06,5.34529544419e-09,5.1140603294e-09
San Benito,2016,All Other Buses,1972,45,DSL,0.00307755301197,5.52397098774e-09,6.28862047776e-09,1.54697656252e-08,4.44091764017e-08,3.95186187189e-06,4.08657793733e-09,3.90979438471e-09
San Benito,2016,All Other Buses,1972,50,DSL,0.00344428230031,5.7989260366e-09,6.60163587094e-09,1.51606782829e-08,4.91198574064e-08,4.31669572465e-06,4.34349543106e-09,4.15559774139e-09
San Benito,2016,All Other Buses,1972,55,DSL,0.00504728359442,8.25101645297e-09,9.39315415371e-09,1.99581830957e-08,7.24631400262e-08,6.25304717606e-06,6.16721047218e-09,5.90041967711e-09
San Benito,2016,All Other Buses,1972,60,DSL,0.00606515706813,9.90860514936e-09,1.12801927068e-08,2.30298764341e-08,8.7931651342e-08,7.50771506762e-06,7.35488394513e-09,7.03671492135e-09
San Benito,2016,All Other Buses,1972,65,DSL,0.000954483276202,1.55933272615e-09,1.7751816103e-09,3.62424775854e-09,1.37982702082e-08,1.18150089009e-06,1.15744961675e-09,1.10737885868e-09
San Benito,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1975,5,DSL,0.000316685485832,5.01453400247e-09,5.70866524902e-09,4.86794038958e-09,1.06806956343e-08,9.0675687193e-07,1.29581249323e-09,1.23975621837e-09
San Benito,2016,All Other Buses,1975,10,DSL,0.00157634104868,2.0188796751e-08,2.29834083037e-08,2.26539894166e-08,4.67840775152e-08,4.09827206119e-06,5.6607089377e-09,5.4158291748e-09
San Benito,2016,All Other Buses,1975,15,DSL,0.00212751328774,1.64589402216e-08,1.87372505665e-08,2.66020229814e-08,4.97505550449e-08,4.54163147492e-06,5.86341418767e-09,5.60976548538e-09
San Benito,2016,All Other Buses,1975,20,DSL,0.00225630515942,8.97038779246e-09,1.02121036642e-08,2.43993917522e-08,4.41580318288e-08,3.95256460203e-06,4.83500814773e-09,4.6258478355e-09
San Benito,2016,All Other Buses,1975,25,DSL,0.00234985234121,6.72989245219e-09,7.66147026873e-09,2.18569841196e-08,4.17837140632e-08,3.69227872877e-06,4.39676214444e-09,4.20656016033e-09
San Benito,2016,All Other Buses,1975,30,DSL,0.00282550706484,7.07257879932e-09,8.05159258922e-09,2.25093605195e-08,4.67813626732e-08,4.16729791262e-06,4.78604048199e-09,4.57899848931e-09
San Benito,2016,All Other Buses,1975,35,DSL,0.00333164496392,7.34515470761e-09,8.36189951197e-09,2.2685304352e-08,5.19642841652e-08,4.64727186102e-06,5.14493833516e-09,4.92237058022e-09
San Benito,2016,All Other Buses,1975,40,DSL,0.0041357185775,8.1415672727e-09,9.26855459337e-09,2.41074894443e-08,6.1611661814e-08,5.50584284833e-06,5.88207737665e-09,5.62762131307e-09
San Benito,2016,All Other Buses,1975,45,DSL,0.00338660512523,6.07869576444e-09,6.92013240966e-09,1.70232608013e-08,4.88688070763e-08,4.34871328535e-06,4.49695772368e-09,4.30242132316e-09
San Benito,2016,All Other Buses,1975,50,DSL,0.00379016187392,6.38126217809e-09,7.26458123986e-09,1.66831344822e-08,5.40525411571e-08,4.75018425622e-06,4.77967522607e-09,4.57290859155e-09
San Benito,2016,All Other Buses,1975,55,DSL,0.00555413876637,9.07959489221e-09,1.03364276343e-08,2.19624113375e-08,7.97399883766e-08,6.880986788e-06,6.78653024406e-09,6.4929479498e-09
San Benito,2016,All Other Buses,1975,60,DSL,0.00667422849659,1.09036409291e-08,1.24129651985e-08,2.53425683527e-08,9.67618689089e-08,8.26165015773e-06,8.09347152337e-09,7.74335152789e-09
San Benito,2016,All Other Buses,1975,65,DSL,0.00105033380174,1.71592306672e-09,1.95344779319e-09,3.9881997114e-09,1.51839115118e-08,1.30014883717e-06,1.27368230183e-09,1.21858336925e-09
San Benito,2016,All Other Buses,1975,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1975,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1975,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1975,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1975,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1976,5,DSL,0.000318330735748,5.04058559629e-09,5.73832300551e-09,4.89323039773e-09,1.07361841691e-08,9.11467670923e-07,1.30254452072e-09,1.24619702133e-09
San Benito,2016,All Other Buses,1976,10,DSL,0.00158453048297,2.02936819372e-08,2.31028121043e-08,2.27716818145e-08,4.70271309643e-08,4.11956347513e-06,5.69011755073e-09,5.44396558425e-09
San Benito,2016,All Other Buses,1976,15,DSL,0.00213856618159,1.65444479926e-08,1.88345946549e-08,2.67402262716e-08,5.00090199894e-08,4.56522623735e-06,5.89387589852e-09,5.63890943611e-09
San Benito,2016,All Other Buses,1976,20,DSL,0.00226802715503,9.01699090636e-09,1.02651577619e-08,2.45261518945e-08,4.43874424e-08,3.97309903405e-06,4.86012706573e-09,4.64988012023e-09
San Benito,2016,All Other Buses,1976,25,DSL,0.00236206033475,6.76485570592e-09,7.70127327165e-09,2.19705359017e-08,4.20007895376e-08,3.71146091911e-06,4.41960427922e-09,4.22841415447e-09
San Benito,2016,All Other Buses,1976,30,DSL,0.00284018618804,7.10932238309e-09,8.09342236237e-09,2.26263015388e-08,4.70244020181e-08,4.18894793085e-06,4.81090500233e-09,4.6027873815e-09
San Benito,2016,All Other Buses,1976,35,DSL,0.00334895358349,7.38331438245e-09,8.40534139702e-09,2.28031594377e-08,5.22342499135e-08,4.67141544821e-06,5.17166740784e-09,4.94794336504e-09
San Benito,2016,All Other Buses,1976,40,DSL,0.00415720453422,8.18386448388e-09,9.31670674859e-09,2.42327330906e-08,6.19317477856e-08,5.53444689838e-06,5.91263604682e-09,5.6568580287e-09
San Benito,2016,All Other Buses,1976,45,DSL,0.00340419927478,6.11027590987e-09,6.95608400131e-09,1.71117003404e-08,4.91226911485e-08,4.37130579587e-06,4.52032039626e-09,4.32477333687e-09
San Benito,2016,All Other Buses,1976,50,DSL,0.00380985258848,6.41441422179e-09,7.30232231803e-09,1.67698069912e-08,5.43333558544e-08,4.77486249567e-06,4.80450667752e-09,4.59666584539e-09
San Benito,2016,All Other Buses,1976,55,DSL,0.0055829937242,9.12676536071e-09,1.0390127622e-08,2.2076510837e-08,8.01542549441e-08,6.91673500964e-06,6.82178774343e-09,6.52668022535e-09
San Benito,2016,All Other Buses,1976,60,DSL,0.00670890256397,1.09602877131e-08,1.24774532501e-08,2.54742285024e-08,9.72645678448e-08,8.30457122559e-06,8.13551886669e-09,7.78357992175e-09
San Benito,2016,All Other Buses,1976,65,DSL,0.00105579051409,1.72483765993e-09,1.96359637897e-09,4.00891927556e-09,1.52627952316e-08,1.30690339291e-06,1.28029935816e-09,1.22491417466e-09
San Benito,2016,All Other Buses,1976,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1976,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1976,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1976,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1976,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1977,5,DSL,0.00076371892129,1.20930534252e-08,1.37670207857e-08,1.1739528174e-08,2.57575724603e-08,2.18673545547e-06,3.124982242e-09,2.9897968935e-09
San Benito,2016,All Other Buses,1977,10,DSL,0.00380150508672,4.86873152279e-08,5.54268022458e-08,5.46323754457e-08,1.12824511422e-07,9.88339553834e-06,1.36513693145e-08,1.30608171208e-08
San Benito,2016,All Other Buses,1977,15,DSL,0.00513071241291,3.96923908229e-08,4.51867655159e-08,6.41534557296e-08,1.19978470541e-07,1.09526013856e-05,1.41402134257e-08,1.35285140521e-08
San Benito,2016,All Other Buses,1977,20,DSL,0.00544130697347,2.16329929691e-08,2.4627515764e-08,5.88415888407e-08,1.06491537956e-07,9.53200733611e-06,1.16601087584e-08,1.11556976149e-08
San Benito,2016,All Other Buses,1977,25,DSL,0.00566690541722,1.62298129656e-08,1.84764066271e-08,5.27103169588e-08,1.00765631706e-07,8.90430175677e-06,1.06032344151e-08,1.01445431879e-08
San Benito,2016,All Other Buses,1977,30,DSL,0.00681399465464,1.70562355808e-08,1.94172258661e-08,5.42835883044e-08,1.12817964307e-07,1.0049858326e-05,1.15420183042e-08,1.10427157015e-08
San Benito,2016,All Other Buses,1977,35,DSL,0.00803459713755,1.77135798165e-08,2.01655622405e-08,5.4707894564e-08,1.25317101111e-07,1.12073638087e-05,1.24075365977e-08,1.18707920568e-08
San Benito,2016,All Other Buses,1977,40,DSL,0.00997370158115,1.96342088706e-08,2.23520522179e-08,5.81376370472e-08,1.48582723252e-07,1.32778941538e-05,1.41852215842e-08,1.35715751777e-08
San Benito,2016,All Other Buses,1977,45,DSL,0.0081671390979,1.46593866147e-08,1.66885957694e-08,4.10533066959e-08,1.17852046572e-07,1.04873597556e-05,1.08448661384e-08,1.03757220298e-08
San Benito,2016,All Other Buses,1977,50,DSL,0.00914035681258,1.53890559724e-08,1.75192687898e-08,4.02330578461e-08,1.30353143015e-07,1.14555474071e-05,1.1526667849e-08,1.10280293002e-08
San Benito,2016,All Other Buses,1977,55,DSL,0.0133943646208,2.18963568811e-08,2.49273355302e-08,5.29645653055e-08,1.92301007249e-07,1.65941921631e-05,1.63664007009e-08,1.56583974513e-08
San Benito,2016,All Other Buses,1977,60,DSL,0.0160955737345,2.62952274766e-08,2.99351148555e-08,6.11161541371e-08,2.33350985287e-07,1.99238008334e-05,1.95182211306e-08,1.86738715243e-08
San Benito,2016,All Other Buses,1977,65,DSL,0.00253298567175,4.13812117121e-09,4.7109359543e-09,9.61794498879e-09,3.66175307664e-08,3.13543977183e-06,3.07161305818e-09,2.93873643695e-09
San Benito,2016,All Other Buses,1977,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1977,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1977,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1977,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1977,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1978,5,DSL,0.000305873635392,4.8433345188e-09,5.51376766879e-09,4.70174570811e-09,1.03160496718e-08,8.75799596895e-07,1.25157260381e-09,1.19743012698e-09
San Benito,2016,All Other Buses,1978,10,DSL,0.00152252373016,1.94995379728e-08,2.21987396521e-08,2.1880567342e-08,4.51868383878e-08,3.95835436187e-06,5.46744861743e-09,5.23092921044e-09
San Benito,2016,All Other Buses,1978,15,DSL,0.00205487858705,1.58970211945e-08,1.80975485282e-08,2.56938124485e-08,4.80520384267e-08,4.38657719408e-06,5.66323337705e-09,5.41824440803e-09
San Benito,2016,All Other Buses,1978,20,DSL,0.00217927341966,8.66413286277e-09,9.8634557393e-09,2.35663804958e-08,4.26504476256e-08,3.81762145104e-06,4.66993779462e-09,4.4679183528e-09
San Benito,2016,All Other Buses,1978,25,DSL,0.00226962683923,6.50012950464e-09,7.3999026428e-09,2.11107723292e-08,4.03571906276e-08,3.56622190841e-06,4.24665379767e-09,4.06294543419e-09
San Benito,2016,All Other Buses,1978,30,DSL,0.00272904239826,6.83111631486e-09,7.77670593109e-09,2.17408761705e-08,4.51842162322e-08,4.0250236254e-06,4.62264191715e-09,4.42266847406e-09
San Benito,2016,All Other Buses,1978,35,DSL,0.00321790041711,7.09438630265e-09,8.07641877174e-09,2.1910813165e-08,5.01901893811e-08,4.48861094803e-06,4.96928676194e-09,4.75431761631e-09
San Benito,2016,All Other Buses,1978,40,DSL,0.00399452242952,7.8636088198e-09,8.9521200533e-09,2.32844439243e-08,5.9508199222e-08,5.31786975804e-06,5.68125939251e-09,5.43549062603e-09
San Benito,2016,All Other Buses,1978,45,DSL,0.00327098420242,5.87116509943e-09,6.68387454505e-09,1.64420754991e-08,4.72003939127e-08,4.20024535818e-06,4.34342863404e-09,4.15553383397e-09
San Benito,2016,All Other Buses,1978,50,DSL,0.00366076325872,6.16340169704e-09,7.016563666e-09,1.61135613159e-08,5.22071519081e-08,4.58800984647e-06,4.61649397525e-09,4.4167864894e-09
San Benito,2016,All Other Buses,1978,55,DSL,0.00536451682172,8.76961156041e-09,9.9835352074e-09,2.12126001927e-08,7.70176128117e-08,6.64606538062e-06,6.55483364511e-09,6.27127444316e-09
San Benito,2016,All Other Buses,1978,60,DSL,0.00644636595304,1.05313834678e-08,1.19891784156e-08,2.44773564278e-08,9.34583551651e-08,7.97959199628e-06,7.81715509093e-09,7.47898842201e-09
San Benito,2016,All Other Buses,1978,65,DSL,0.00101447471604,1.65734032645e-09,1.88675580279e-09,3.85203995438e-09,1.46655228021e-08,1.25576090212e-06,1.23019795167e-09,1.17698013284e-09
San Benito,2016,All Other Buses,1978,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1978,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1978,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1978,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1978,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito,2016,All Other Buses,1979,5,DSL,0.0013545010668,2.14477516643e-08,2.44166326394e-08,2.08207535418e-08,4.56825913342e-08,3.87830578066e-06,5.54234242797e-09,5.30258314789e-09
San Benito,2016,All Other Buses,1979,10,DSL,0.00674219605125,8.63498580134e-08,9.83027402858e-08,9.68937769641e-08,2.00101001588e-07,1.75287915843e-05,2.42115178559e-08,2.31641383109e-08
San Benito,2016,All Other Buses,1979,15,DSL,0.00909962453852,7.03968229862e-08,8.0141424273e-08,1.13779980831e-07,2.12788974856e-07,1.94250919382e-05,2.50785120493e-08,2.39936267192e-08
San Benito,2016,All Other Buses,1979,20,DSL,0.00965048252029,3.83674035535e-08,4.36783683695e-08,1.04359068022e-07,1.88869095351e-07,1.69055836454e-05,2.06798984704e-08,1.97852952167e-08
