Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Tulare,2016,All Other Buses,1972,5,DSL,0.000982049209156,1.55501889784e-08,1.77027064515e-08,1.50955987049e-08,3.31478762229e-08,2.81187458477e-06,4.01834530196e-09,3.84451346294e-09
Tulare,2016,All Other Buses,1972,10,DSL,0.00488827101168,6.26059379735e-08,7.12720947381e-08,7.02505589493e-08,1.45198695245e-07,1.2708838948e-05,1.75539927917e-08,1.67946148339e-08
Tulare,2016,All Other Buses,1972,15,DSL,0.00659746920895,5.10395643351e-08,5.81046587981e-08,8.24935047536e-08,1.54418119981e-07,1.40837070146e-05,1.81825865837e-08,1.73960159368e-08
Tulare,2016,All Other Buses,1972,20,DSL,0.00699685586032,2.78173854866e-08,3.16679758813e-08,7.5663093025e-08,1.37061046953e-07,1.22569966583e-05,1.49934750412e-08,1.43448639479e-08
Tulare,2016,All Other Buses,1972,25,DSL,0.0072869478917,2.08695562508e-08,2.3758401174e-08,6.77790266035e-08,1.29694063285e-07,1.14498439865e-05,1.36344637818e-08,1.3044642914e-08
Tulare,2016,All Other Buses,1972,30,DSL,0.00876196448096,2.19322347481e-08,2.49681797507e-08,6.98020613061e-08,1.45198166964e-07,1.29228897518e-05,1.48416251474e-08,1.41995830132e-08
Tulare,2016,All Other Buses,1972,35,DSL,0.0103315101209,2.27774991102e-08,2.59304488843e-08,7.03476673072e-08,1.61285319658e-07,1.44113003596e-05,1.59545759097e-08,1.52643880182e-08
Tulare,2016,All Other Buses,1972,40,DSL,0.012824961484,2.524719338e-08,2.87420078143e-08,7.47578970388e-08,1.91226891716e-07,1.70737493723e-05,1.82404615758e-08,1.74513872823e-08
Tulare,2016,All Other Buses,1972,45,DSL,0.0105019428858,1.88501798637e-08,2.14594948749e-08,5.27895358489e-08,1.51682719376e-07,1.34854631292e-05,1.39451726515e-08,1.33419106555e-08
Tulare,2016,All Other Buses,1972,50,DSL,0.0117533819432,1.97884454949e-08,2.2527638874e-08,5.17347960595e-08,1.67743053344e-07,1.47304341401e-05,1.48218863377e-08,1.41806980957e-08
Tulare,2016,All Other Buses,1972,55,DSL,0.0172235161606,2.81560392953e-08,3.20535074637e-08,6.81059589091e-08,2.47391849179e-07,2.13381033729e-05,2.10451913879e-08,2.01347857242e-08
Tulare,2016,All Other Buses,1972,60,DSL,0.0206969410031,3.38124493555e-08,3.8492899744e-08,7.85879060526e-08,3.00138594534e-07,2.56195732571e-05,2.50980473196e-08,2.40123169024e-08
Tulare,2016,All Other Buses,1972,65,DSL,0.0032571100524,5.32111816309e-09,6.05768797831e-09,1.23675019783e-08,4.71064148405e-08,4.03179240745e-06,3.94971905308e-09,3.77885595521e-09
Tulare,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1973,5,DSL,0.00746758128254,1.18244889434e-07,1.34612805667e-07,1.14788148381e-07,2.52059120592e-07,2.13817208163e-05,3.05558213213e-08,2.92339900167e-08
Tulare,2016,All Other Buses,1973,10,DSL,0.0371708064835,4.76060594752e-07,5.41958748779e-07,5.34190908364e-07,1.10410257322e-06,9.66390349546e-05,1.3348197502e-07,1.27707603867e-07
Tulare,2016,All Other Buses,1973,15,DSL,0.0501676872376,3.88108958028e-07,4.41832505361e-07,6.27287254331e-07,1.17420782147e-06,0.000107093642467,1.38261852843e-07,1.32280706291e-07
Tulare,2016,All Other Buses,1973,20,DSL,0.053204655502,2.11525639706e-07,2.40805839201e-07,5.75348253412e-07,1.04222324019e-06,9.32031897913e-05,1.14011591816e-07,1.09079500822e-07
Tulare,2016,All Other Buses,1973,25,DSL,0.0554105386732,1.58693786605e-07,1.80660796074e-07,5.15397177345e-07,9.86204103026e-07,8.70655358657e-05,1.03677560743e-07,9.91925153583e-08
Tulare,2016,All Other Buses,1973,30,DSL,0.0666266836185,1.66774479488e-07,1.89860049809e-07,5.30780496163e-07,1.10409855613e-06,9.8266694507e-05,1.12856912993e-07,1.07974772894e-07
Tulare,2016,All Other Buses,1973,35,DSL,0.0785616350787,1.73201937777e-07,1.97177221804e-07,5.3492932814e-07,1.2264265609e-06,0.000109584688648,1.21319880229e-07,1.16071635914e-07
Tulare,2016,All Other Buses,1973,40,DSL,0.097522040071,1.91981691919e-07,2.18556542356e-07,5.68465070227e-07,1.45410468639e-06,0.000129830165379,1.38701938944e-07,1.32701754462e-07
Tulare,2016,All Other Buses,1973,45,DSL,0.0798576195498,1.43338285913e-07,1.63179727417e-07,4.01415882365e-07,1.15340761495e-06,0.000102544547779,1.06040216013e-07,1.01452963207e-07
Tulare,2016,All Other Buses,1973,50,DSL,0.0893736629361,1.50472933342e-07,1.71301980417e-07,3.93395556056e-07,1.27553168797e-06,0.000112011407618,1.12706817495e-07,1.0783117046e-07
Tulare,2016,All Other Buses,1973,55,DSL,0.1309690041,2.14100790543e-07,2.43737452405e-07,5.17883196929e-07,1.88118754657e-06,0.000162256656659,1.60029330333e-07,1.53106532341e-07
Tulare,2016,All Other Buses,1973,60,DSL,0.157381206359,2.57112588218e-07,2.92703109945e-07,5.97588767244e-07,2.28227804657e-06,0.000194813298496,1.90847573263e-07,1.82591591724e-07
Tulare,2016,All Other Buses,1973,65,DSL,0.0247673271723,4.04622110852e-08,4.60631472848e-08,9.40434811454e-08,3.58200972487e-07,3.06580741945e-05,3.00339817975e-08,2.87347250397e-08
Tulare,2016,All Other Buses,1973,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1973,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1973,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1973,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1973,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,2016,All Other Buses,1974,5,DSL,0.00868452228239,1.37514455915e-07,1.56549740281e-07,1.33494393251e-07,2.93135483424e-07,2.48661546275e-05,3.55352959789e-08,3.39980548048e-08
Tulare,2016,All Other Buses,1974,10,DSL,0.0432282803422,5.5364095635e-07,6.30278084942e-07,6.21244372336e-07,1.28403067023e-06,0.000112387642083,1.55234625845e-07,1.48519244646e-07
Tulare,2016,All Other Buses,1974,15,DSL,0.0583431744746,4.5135643878e-07,5.13834947718e-07,7.2951199747e-07,1.36556049461e-06,0.000124545965972,1.6079344789e-07,1.5383759451e-07
Tulare,2016,All Other Buses,1974,20,DSL,0.0618750568292,2.45996536471e-07,2.80048331199e-07,6.69108850354e-07,1.21206728259e-06,0.000108391880571,1.32591286538e-07,1.26855446175e-07
Tulare,2016,All Other Buses,1974,25,DSL,0.0644404177978,1.84555035118e-07,2.10101858915e-07,5.99387954624e-07,1.14691908714e-06,0.000101254014874,1.20573188612e-07,1.15357245845e-07
