Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Tuolumne,2016,All Other Buses,1972,5,DSL,0.00139479742356,2.2085821485e-08,2.51430265595e-08,2.14401701915e-08,4.71185919619e-08,3.99368523455e-06,5.70722691072e-09,5.4603348009e-09
Tuolumne,2016,All Other Buses,1972,10,DSL,0.00694277613502,8.89187631035e-08,1.01227243182e-07,9.97763632539e-08,2.06384848098e-07,1.80502724872e-05,2.49318096189e-08,2.3853270571e-08
Tuolumne,2016,All Other Buses,1972,15,DSL,0.00937033803281,7.24911258728e-08,8.25256286883e-08,1.17164931062e-07,2.19485400566e-07,2.00029877067e-05,2.58245968574e-08,2.47074362288e-08
Tuolumne,2016,All Other Buses,1972,20,DSL,0.00993758401921,3.95088323937e-08,4.4977798217e-08,1.07463746445e-07,1.94814560414e-07,1.74085241352e-05,2.12951246869e-08,2.03739070194e-08
Tuolumne,2016,All Other Buses,1972,25,DSL,0.0103495996435,2.96408805363e-08,3.37438861886e-08,9.62660636519e-08,1.84344258026e-07,1.62621310049e-05,1.93649307765e-08,1.85272124432e-08
Tuolumne,2016,All Other Buses,1972,30,DSL,0.0124445550889,3.11501951575e-08,3.54621259938e-08,9.91393652794e-08,2.06380821996e-07,1.83542873032e-05,2.10794533756e-08,2.01675655535e-08
Tuolumne,2016,All Other Buses,1972,35,DSL,0.0146737694646,3.23507180473e-08,3.68288299185e-08,9.99142855558e-08,2.29243753042e-07,2.04682661768e-05,2.2660169333e-08,2.16799004383e-08
Tuolumne,2016,All Other Buses,1972,40,DSL,0.0182152004892,3.58584070434e-08,4.08220668307e-08,1.06178103101e-07,2.71820896618e-07,2.42497233468e-05,2.59067962921e-08,2.47860797523e-08
Tuolumne,2016,All Other Buses,1972,45,DSL,0.0149158338939,2.67727747881e-08,3.04787661181e-08,7.49765978185e-08,2.15594141631e-07,1.9153306222e-05,1.98062283478e-08,1.89494196769e-08
Tuolumne,2016,All Other Buses,1972,50,DSL,0.0166932437801,2.8105386711e-08,3.19958433522e-08,7.3478558487e-08,2.3845460541e-07,2.09215295883e-05,2.10514184863e-08,2.01407434411e-08
Tuolumne,2016,All Other Buses,1972,55,DSL,0.0244624360383,3.99898199608e-08,4.55253659487e-08,9.67304032525e-08,3.51835991524e-07,3.03063546415e-05,2.98903338574e-08,2.85972912459e-08
Tuolumne,2016,All Other Buses,1972,60,DSL,0.0293957163424,4.80235784577e-08,5.46711884574e-08,1.11617837338e-07,4.26976303896e-07,3.63872955026e-05,3.56465759673e-08,3.41045208701e-08
Tuolumne,2016,All Other Buses,1972,65,DSL,0.00462604996468,7.5575458288e-09,8.60369063596e-09,1.75654740459e-08,6.69989397266e-08,5.72632573786e-06,5.60975754336e-09,5.36708191523e-09
Tuolumne,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuolumne,2016,All Other Buses,1974,5,DSL,0.00176208064166,2.79015417126e-08,3.17637813385e-08,2.70858751316e-08,5.95260339288e-08,5.04531720652e-06,7.2100750167e-09,6.89817036306e-09
Tuolumne,2016,All Other Buses,1974,10,DSL,0.0087709736341,1.1233318079e-07,1.27882775382e-07,1.26049844383e-07,2.60730869891e-07,2.28033370217e-05,3.14969459715e-08,3.01344020311e-08
Tuolumne,2016,All Other Buses,1974,15,DSL,0.0118377701124,9.15797573436e-08,1.04256582566e-07,1.48017234202e-07,2.77281108305e-07,2.52702484375e-05,3.2624825249e-08,3.12134897503e-08
Tuolumne,2016,All Other Buses,1974,20,DSL,0.0125543854107,4.99124443162e-08,5.68215184544e-08,1.35761497759e-07,2.46113851246e-07,2.19926011193e-05,2.69026357082e-08,2.5738839596e-08
Tuolumne,2016,All Other Buses,1974,25,DSL,0.0130748945135,3.74460268658e-08,4.26294511469e-08,1.21615199702e-07,2.32886470094e-07,2.05443355085e-05,2.44641759959e-08,2.34058665715e-08
Tuolumne,2016,All Other Buses,1974,30,DSL,0.0157215013778,3.93527797973e-08,4.48001442149e-08,1.25245109745e-07,2.60725783621e-07,2.31874061439e-05,2.66301730292e-08,2.5478163532e-08
Tuolumne,2016,All Other Buses,1974,35,DSL,0.0185377207307,4.08694288161e-08,4.65267336736e-08,1.26224084896e-07,2.8960906626e-07,2.58580457559e-05,2.86271289609e-08,2.7388732034e-08
Tuolumne,2016,All Other Buses,1974,40,DSL,0.0230116944755,4.53007754566e-08,5.15714845039e-08,1.34137314053e-07,3.43397780811e-07,3.06352502187e-05,3.27286697429e-08,3.13128419774e-08
Tuolumne,2016,All Other Buses,1974,45,DSL,0.0188435264611,3.38226809004e-08,3.85045475791e-08,9.47197129579e-08,2.72365188671e-07,2.41968256806e-05,2.50216776764e-08,2.39392509761e-08
Tuolumne,2016,All Other Buses,1974,50,DSL,0.0210889704947,3.55062011253e-08,4.04211072033e-08,9.28272043671e-08,3.01245354352e-07,2.64306641659e-05,2.65947558891e-08,2.54442785216e-08
