Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Yuba,2016,All Other Buses,1972,5,DSL,0.000254477677632,4.02950884851e-09,4.58728909262e-09,3.91171121068e-09,8.59913660947e-09,7.2863895969e-07,1.04127081498e-09,9.96225900446e-10
Yuba,2016,All Other Buses,1972,10,DSL,0.001266694014,1.62230299184e-08,1.84686846441e-08,1.82039748386e-08,3.76682502018e-08,3.29323193861e-06,4.5487530331e-09,4.35197599042e-09
Yuba,2016,All Other Buses,1972,15,DSL,0.00170959726548,1.32258441616e-08,1.50566168097e-08,2.13764802351e-08,4.00530256314e-08,3.64950047319e-06,4.71164007265e-09,4.50781660874e-09
Yuba,2016,All Other Buses,1972,20,DSL,0.00181309002997,7.20829831177e-09,8.20609892299e-09,1.96065207486e-08,3.5550613605e-08,3.17614638376e-06,3.88524798202e-09,3.71717387415e-09
Yuba,2016,All Other Buses,1972,25,DSL,0.00188826136126,5.40791251436e-09,6.15649674032e-09,1.7563528509e-08,3.36403424386e-08,2.96698951516e-06,3.53308841003e-09,3.38024856936e-09
Yuba,2016,All Other Buses,1972,30,DSL,0.00227048130768,5.68328359916e-09,6.46998575877e-09,1.80877559795e-08,3.76628680551e-08,3.34869876344e-06,3.84589923252e-09,3.67952733413e-09
Yuba,2016,All Other Buses,1972,35,DSL,0.00267719649635,5.9023163216e-09,6.71933784022e-09,1.82291384548e-08,4.1839370749e-08,3.73438949186e-06,4.13429733179e-09,3.95544945929e-09
Yuba,2016,All Other Buses,1972,40,DSL,0.00332332268458,6.54228635202e-09,7.4478950045e-09,1.93719579892e-08,4.96071121687e-08,4.42430791474e-06,4.72663717609e-09,4.52216494412e-09
Yuba,2016,All Other Buses,1972,45,DSL,0.00272136061134,4.88463302037e-09,5.56078286913e-09,1.36793129721e-08,3.93500750522e-08,3.49447798227e-06,3.61360216722e-09,3.45727933705e-09
Yuba,2016,All Other Buses,1972,50,DSL,0.00304564507903,5.12776509216e-09,5.83757022533e-09,1.34059990388e-08,4.35191009503e-08,3.8170863899e-06,3.84078432951e-09,3.67463369956e-09
Yuba,2016,All Other Buses,1972,55,DSL,0.00446311687066,7.29605342012e-09,8.30600143382e-09,1.7648246233e-08,6.41795703117e-08,5.52932677993e-06,5.45342471617e-09,5.21751197694e-09
Yuba,2016,All Other Buses,1972,60,DSL,0.00536318285423,8.76179473167e-09,9.97463634291e-09,2.03644253626e-08,7.78610065989e-08,6.63878087126e-06,6.50363824485e-09,6.22229373326e-09
Yuba,2016,All Other Buses,1972,65,DSL,0.00084401249367,1.37885737285e-09,1.56972415859e-09,3.20478154476e-09,1.22182149143e-08,1.04475535337e-06,1.02348774639e-09,9.79212119537e-10
Yuba,2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuba,2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuba,2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuba,2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuba,2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuba,2016,All Other Buses,1973,5,DSL,0.00193506875683,3.06407098284e-08,3.48821157293e-08,2.97449671027e-08,6.53885273693e-08,5.54062933546e-06,7.91790714303e-09,7.57538198493e-09
Yuba,2016,All Other Buses,1973,10,DSL,0.00963204330438,1.23361226133e-07,1.40437365537e-07,1.38424490856e-07,2.86432408407e-07,2.50420009044e-05,3.45890844289e-08,3.30927759476e-08
Yuba,2016,All Other Buses,1973,15,DSL,0.0129999153009,1.0057038424e-07,1.1449172691e-07,1.6254847741e-07,3.04566432848e-07,2.77510955359e-05,3.58276905969e-08,3.4277800561e-08
Yuba,2016,All Other Buses,1973,20,DSL,0.0137868826176,5.48124809328e-08,6.23998371453e-08,1.49089562919e-07,2.70329729167e-07,2.4151672915e-05,2.95437385806e-08,2.82656895273e-08
Yuba,2016,All Other Buses,1973,25,DSL,0.0143584914752,4.11222023227e-08,4.68144970694e-08,1.33554485382e-07,2.55803873361e-07,2.25612272403e-05,2.68658888316e-08,2.57036823731e-08
Yuba,2016,All Other Buses,1973,30,DSL,0.0172649227325,4.32161462305e-08,4.91982928147e-08,1.37540753291e-07,2.8639148213e-07,2.54637751078e-05,2.92445275201e-08,2.79794222049e-08
