Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
El Dorado (LT),2016,All Other Buses,1984,5,DSL,0.00313596529419,4.96562213988e-08,5.65298281669e-08,4.82045840395e-08,1.0639987087e-07,8.97912347693e-06,1.28317311287e-08,1.22766361201e-08
El Dorado (LT),2016,All Other Buses,1984,10,DSL,0.015609653873,1.99918748332e-07,2.27592276903e-07,2.24330219614e-07,4.66043234559e-07,4.05829743547e-05,5.60549427217e-08,5.36300307126e-08
El Dorado (LT),2016,All Other Buses,1984,15,DSL,0.0210676148159,1.62983993972e-07,1.85544870585e-07,2.63425463298e-07,4.96514143761e-07,4.49733231282e-05,5.80622233117e-08,5.55504772328e-08
El Dorado (LT),2016,All Other Buses,1984,20,DSL,0.0223429711483,8.88289045475e-08,1.01124946057e-07,2.41613996086e-07,4.40655808454e-07,3.91401120971e-05,4.78784738383e-08,4.58072722537e-08
El Dorado (LT),2016,All Other Buses,1984,25,DSL,0.0232693183558,6.66424894978e-08,7.5867401381e-08,2.16437906696e-07,4.16864801735e-07,3.65626416994e-05,4.35387604062e-08,4.16552929037e-08
El Dorado (LT),2016,All Other Buses,1984,30,DSL,0.0279794701375,7.00359272759e-08,7.97305719786e-08,2.22898037774e-07,4.66707780011e-07,4.1266500074e-05,4.73935734966e-08,4.53433484862e-08
El Dorado (LT),2016,All Other Buses,1984,35,DSL,0.0329914803388,7.27350992514e-08,8.28033738083e-08,2.24640314503e-07,5.17832883715e-07,4.60194228053e-05,5.09475450616e-08,4.87435768145e-08
El Dorado (LT),2016,All Other Buses,1984,40,DSL,0.0409537869773,8.06215426652e-08,9.17814893086e-08,2.38723445214e-07,6.13292259527e-07,5.45213874966e-05,5.82470347904e-08,5.57272938488e-08
El Dorado (LT),2016,All Other Buses,1984,45,DSL,0.033535721127,6.01940404724e-08,6.85263330299e-08,1.6857215583e-07,4.8676556104e-07,4.30629585104e-05,4.45309431022e-08,4.26045542155e-08
El Dorado (LT),2016,All Other Buses,1984,50,DSL,0.0375319256099,6.31901922218e-08,7.19372237257e-08,1.65204068627e-07,5.37522500497e-07,4.70385086622e-05,4.73305418057e-08,4.52830435184e-08
El Dorado (LT),2016,All Other Buses,1984,55,DSL,0.0549996358837,8.99103234631e-08,1.02356059173e-07,2.17481895484e-07,7.90953747106e-07,6.81386950849e-05,6.72033429553e-08,6.4296156087e-08
El Dorado (LT),2016,All Other Buses,1984,60,DSL,0.0660912794149,1.07972866025e-07,1.22918888936e-07,2.50953764461e-07,9.58621019055e-07,8.18106586074e-05,8.01452764407e-08,7.66782272586e-08
