Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Placer (LT),2016,All Other Buses,1984,5,DSL,0.00365571545987,5.78861687605e-08,6.58989967641e-08,5.61939392112e-08,1.23933851636e-07,1.04673098811e-05,1.49584429238e-08,1.43113473043e-08
Placer (LT),2016,All Other Buses,1984,10,DSL,0.0181967744007,2.3305298064e-07,2.65313078166e-07,2.61510372414e-07,5.4283585983e-07,4.7309135414e-05,6.53454045203e-08,6.25185912463e-08
Placer (LT),2016,All Other Buses,1984,15,DSL,0.0245593295716,1.8999671571e-07,2.16296798041e-07,3.07085202916e-07,5.78286617368e-07,5.24271339821e-05,6.76853687727e-08,6.47573296809e-08
Placer (LT),2016,All Other Buses,1984,20,DSL,0.0260460615421,1.03551273428e-07,1.17885242341e-07,2.81658735972e-07,5.13257992783e-07,4.56271353385e-05,5.58137799963e-08,5.339930058e-08
Placer (LT),2016,All Other Buses,1984,25,DSL,0.0271259401409,7.76877153561e-08,8.8441550244e-08,2.52309999437e-07,4.85597326975e-07,4.26224788782e-05,5.07548089948e-08,4.85591784246e-08
Placer (LT),2016,All Other Buses,1984,30,DSL,0.0326167453863,8.16435764018e-08,9.29449969192e-08,2.59840822912e-07,5.43557053011e-07,4.81059476567e-05,5.52485130022e-08,5.28584867858e-08
Placer (LT),2016,All Other Buses,1984,35,DSL,0.0384594386112,8.47901050761e-08,9.6527080297e-08,2.61871861963e-07,6.03207271904e-07,5.36466126445e-05,5.93915144628e-08,5.68222638371e-08
Placer (LT),2016,All Other Buses,1984,40,DSL,0.0477414059622,9.39836357457e-08,1.06993215141e-07,2.78289109552e-07,7.14549819058e-07,6.35576801614e-05,6.79008106276e-08,6.49634516165e-08
Placer (LT),2016,All Other Buses,1984,45,DSL,0.0390938810481,7.01705100994e-08,7.98837842786e-08,1.96511051099e-07,5.67109718643e-07,5.02001484092e-05,5.19114345567e-08,4.96657688767e-08
Placer (LT),2016,All Other Buses,1984,50,DSL,0.0437524104445,7.36632395282e-08,8.38599908621e-08,1.92584742195e-07,6.26165398573e-07,5.48346002567e-05,5.51750345338e-08,5.27881869634e-08
Placer (LT),2016,All Other Buses,1984,55,DSL,0.064115192716,1.04811925086e-07,1.19320398292e-07,2.53527017355e-07,9.21652883395e-07,7.94318998043e-05,7.83415238211e-08,7.4952504179e-08
Placer (LT),2016,All Other Buses,1984,60,DSL,0.0770451485441,1.25868126253e-07,1.43291280495e-07,2.92546463494e-07,1.11730924772e-06,9.53698339736e-05,9.34284338743e-08,8.93867611816e-08
Placer (LT),2016,All Other Buses,1984,65,DSL,0.0121247158106,1.98080643528e-08,2.25499734503e-08,4.60384955872e-08,1.75909783488e-07,1.50085002844e-05,1.47029791072e-08,1.40669347394e-08
Placer (LT),2016,All Other Buses,1984,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (LT),2016,All Other Buses,1984,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (LT),2016,All Other Buses,1984,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
