Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Placer (MC),2016,All Other Buses,1972,5,DSL,0.000217008881594,3.4362118388e-09,3.9118656096e-09,3.33575849501e-09,7.3414455391e-09,6.21355582933e-07,8.87956134691e-10,8.49543545363e-10
Placer (MC),2016,All Other Buses,1972,10,DSL,0.00108018846233,1.38343826909e-08,1.57493916026e-08,1.55236571516e-08,3.21563750243e-08,2.80834290252e-06,3.87900352419e-09,3.7111995488e-09
Placer (MC),2016,All Other Buses,1972,15,DSL,0.00145787950445,1.12784967089e-08,1.28397099694e-08,1.82290490522e-08,3.42060428328e-08,3.11215515418e-06,4.01790739429e-09,3.84409449897e-09
Placer (MC),2016,All Other Buses,1972,20,DSL,0.0015461341965,6.14696255244e-09,6.99784895124e-09,1.67196949422e-08,3.03598423335e-08,2.708496796e-06,3.31319166043e-09,3.1698644558e-09
Placer (MC),2016,All Other Buses,1972,25,DSL,0.00161023744785,4.61166204211e-09,5.25002618929e-09,1.49775088882e-08,2.87286119169e-08,2.53013577607e-06,3.01288337574e-09,2.88254737458e-09
Placer (MC),2016,All Other Buses,1972,30,DSL,0.00193618007617,4.84648802643e-09,5.51735769718e-09,1.54245501303e-08,3.21612057229e-08,2.85564290044e-06,3.27963654392e-09,3.13776091878e-09
Placer (MC),2016,All Other Buses,1972,35,DSL,0.00228301131512,5.03327079878e-09,5.72999566535e-09,1.55451157262e-08,3.57182312276e-08,3.1845452796e-06,3.52557147055e-09,3.37305680935e-09
Placer (MC),2016,All Other Buses,1972,40,DSL,0.00283400314585,5.57901289234e-09,6.35128149628e-09,1.65196687452e-08,4.23410979811e-08,3.77288146191e-06,4.03069635353e-09,3.85633021348e-09
Placer (MC),2016,All Other Buses,1972,45,DSL,0.00232067279211,4.1654291984e-09,4.74202406454e-09,1.16651976578e-08,3.35923049628e-08,2.97995787192e-06,3.08154244464e-09,2.94823628255e-09
Placer (MC),2016,All Other Buses,1972,50,DSL,0.0025972102484,4.37276297898e-09,4.97805779122e-09,1.14321259339e-08,3.71373579876e-08,3.25506604795e-06,3.27527474923e-09,3.1335878134e-09
Placer (MC),2016,All Other Buses,1972,55,DSL,0.00380597626299,6.2217967701e-09,7.08304201157e-09,1.50497529401e-08,5.47669931744e-08,4.71519950845e-06,4.65047311626e-09,4.44929570781e-09
Placer (MC),2016,All Other Buses,1972,60,DSL,0.00457351828974,7.47172519481e-09,8.50599037694e-09,1.73660071617e-08,6.645970825e-08,5.6612997471e-06,5.54605525696e-09,5.30613536154e-09
Placer (MC),2016,All Other Buses,1972,65,DSL,0.000719741743195,1.17583710739e-09,1.33860104052e-09,2.73291577185e-09,1.04355774057e-08,8.90927616462e-07,8.72791410379e-10,8.35034840312e-10
Placer (MC),2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1972,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1972,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1972,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1972,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1974,5,DSL,0.000274152463195,4.34104785365e-09,4.94195253522e-09,4.2141427637e-09,9.27462214066e-09,7.8497323395e-07,1.12177602938e-09,1.07324849491e-09
Placer (MC),2016,All Other Buses,1974,10,DSL,0.00136462768477,1.74773035262e-08,1.98965796697e-08,1.96114039879e-08,4.06239106693e-08,3.54784614605e-06,4.90043708389e-09,4.68844634485e-09
Placer (MC),2016,All Other Buses,1974,15,DSL,0.00184177372949,1.4248392191e-08,1.62207099034e-08,2.30291896933e-08,4.32133045886e-08,3.93165936387e-06,5.07591763499e-09,4.85633568499e-09
Placer (MC),2016,All Other Buses,1974,20,DSL,0.00195326797358,7.76560347456e-09,8.84054842804e-09,2.11223868747e-08,3.83543083434e-08,3.42170819334e-06,4.18563354675e-09,4.00456489231e-09
Placer (MC),2016,All Other Buses,1974,25,DSL,0.00203425113025,5.82602195348e-09,6.63248250973e-09,1.89214419431e-08,3.62935362982e-08,3.19638048973e-06,3.80624697344e-09,3.64159041423e-09
Placer (MC),2016,All Other Buses,1974,30,DSL,0.00244602217739,6.1226831848e-09,6.97020873937e-09,1.9486199739e-08,4.06300134053e-08,3.60760135442e-06,4.14324257281e-09,3.96400773314e-09
Placer (MC),2016,All Other Buses,1974,35,DSL,0.00288418230141,6.35865028784e-09,7.23883932405e-09,1.96385131137e-08,4.51236880263e-08,4.02311152495e-06,4.45393799424e-09,4.26126260817e-09
Placer (MC),2016,All Other Buses,1974,40,DSL,0.00358026333959,7.04809920863e-09,8.02372443863e-09,2.08696890394e-08,5.3490512557e-08,4.76637056753e-06,5.09207423029e-09,4.87179335312e-09
Placer (MC),2016,All Other Buses,1974,45,DSL,0.00293176093786,5.26228542636e-09,5.99071138596e-09,1.47369206644e-08,4.24379549919e-08,3.76465140414e-06,3.89298560239e-09,3.72457676848e-09
Placer (MC),2016,All Other Buses,1974,50,DSL,0.00328111726028,5.52421510516e-09,6.28889838685e-09,1.44424756319e-08,4.69165044953e-08,4.11220208293e-06,4.13773221421e-09,3.95873575022e-09
Placer (MC),2016,All Other Buses,1974,55,DSL,0.00480818001408,7.86014331529e-09,8.94817484022e-09,1.9012709566e-08,6.91884404464e-08,5.95682328853e-06,5.87505290326e-09,5.62090071529e-09
Placer (MC),2016,All Other Buses,1974,60,DSL,0.00577783404711,9.43920751733e-09,1.07458192338e-08,2.1938888419e-08,8.3960124517e-08,7.15205414244e-06,7.00646304677e-09,6.70336655682e-09
Placer (MC),2016,All Other Buses,1974,65,DSL,0.000909266801946,1.48546288492e-09,1.69108641913e-09,3.45255726426e-09,1.31835122582e-08,1.12552997272e-06,1.10261807375e-09,1.05491930396e-09
Placer (MC),2016,All Other Buses,1974,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1974,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1974,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1974,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1974,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1976,5,DSL,0.000720125509914,1.14027766256e-08,1.29811931942e-08,1.1069430751e-08,2.4361962393e-08,2.06191563548e-06,2.94660688345e-09,2.819137974e-09
Placer (MC),2016,All Other Buses,1976,10,DSL,0.00358451350713,4.59082218961e-08,5.22630160357e-08,5.15139354662e-08,1.06708194574e-07,9.31924698121e-06,1.28721431597e-08,1.23152999446e-08
Placer (MC),2016,All Other Buses,1976,15,DSL,0.00483784909548,3.74267317258e-08,4.26074850988e-08,6.04915483068e-08,1.13509842805e-07,1.03274220892e-05,1.33330838344e-08,1.27563005297e-08
Placer (MC),2016,All Other Buses,1976,20,DSL,0.00513071478214,2.03981722314e-08,2.32217663503e-08,5.54828851123e-08,1.00746553692e-07,8.98791617187e-06,1.09945446305e-08,1.05189254966e-08
Placer (MC),2016,All Other Buses,1976,25,DSL,0.00534343596767,1.5303408115e-08,1.74217652238e-08,4.97015889217e-08,9.53334543442e-08,8.39604030261e-06,9.99799713877e-09,9.56548820822e-09
Placer (MC),2016,All Other Buses,1976,30,DSL,0.00642504884773,1.60826581644e-08,1.83088820875e-08,5.11850572481e-08,1.06724224836e-07,9.47620799989e-06,1.08831948313e-08,1.04123926404e-08
Placer (MC),2016,All Other Buses,1976,35,DSL,0.00757597880495,1.67024809025e-08,1.90145030931e-08,5.158514392e-08,1.18527911333e-07,1.05676425613e-05,1.16993089606e-08,1.11932020337e-08
Placer (MC),2016,All Other Buses,1976,40,DSL,0.00940439831545,1.85134796069e-08,2.10761872625e-08,5.48191151963e-08,1.40505331164e-07,1.25199861252e-05,1.33755229075e-08,1.27969037073e-08
Placer (MC),2016,All Other Buses,1976,45,DSL,0.00770095521201,1.38226223898e-08,1.57360033949e-08,3.87099659232e-08,1.11473205902e-07,9.88873665573e-06,1.02258364172e-08,9.78347126034e-09
Placer (MC),2016,All Other Buses,1976,50,DSL,0.00861862123219,1.45106419002e-08,1.65192612346e-08,3.79365372379e-08,1.23237162743e-07,1.0801659731e-05,1.08687205868e-08,1.03985445453e-08
Placer (MC),2016,All Other Buses,1976,55,DSL,0.0126298084068,2.06465032156e-08,2.35044722725e-08,4.99413246611e-08,1.81739607137e-07,1.56469883879e-05,1.54321993624e-08,1.47646092492e-08
Placer (MC),2016,All Other Buses,1976,60,DSL,0.0151768313182,2.4794284346e-08,2.8226405355e-08,5.76276172228e-08,2.2054088727e-07,1.87865415333e-05,1.8404112498e-08,1.7607958738e-08
Placer (MC),2016,All Other Buses,1976,65,DSL,0.00238840173737,3.9019153977e-09,4.44203366146e-09,9.06894846559e-09,3.46295757359e-08,2.95646749289e-06,2.89628403607e-09,2.77099207073e-09
Placer (MC),2016,All Other Buses,1976,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1976,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1976,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1976,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1976,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Placer (MC),2016,All Other Buses,1979,5,DSL,0.000255345217481,4.04324584709e-09,4.60292761983e-09,3.92504662534e-09,8.63836997837e-09,7.31122962762e-07,1.0448206113e-09,9.99622134156e-10
Placer (MC),2016,All Other Buses,1979,10,DSL,0.00127101230055,1.62783358496e-08,1.85316462368e-08,1.82660340091e-08,3.78370530904e-08,3.30445889559e-06,4.56426018703e-09,4.36681231174e-09
Placer (MC),2016,All Other Buses,1979,15,DSL,0.00171542545351,1.32709323869e-08,1.5107946322e-08,2.14493547937e-08,4.02488109341e-08,3.66194198523e-06,4.72770252478e-09,4.52318420631e-09
