Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Sonoma (NC),2016,All Other Buses,1972,5,DSL,0.00113903574914,1.803598128e-08,2.05325917651e-08,1.7508721986e-08,3.83116847192e-08,3.26136984206e-06,4.66070224247e-09,4.45908232655e-09
Sonoma (NC),2016,All Other Buses,1972,10,DSL,0.00566969086874,7.26138779967e-08,8.26653726373e-08,8.14805381385e-08,1.67816460282e-07,1.4740424163e-05,2.03601053221e-08,1.94793361784e-08
Sonoma (NC),2016,All Other Buses,1972,15,DSL,0.00765211479506,5.91985491729e-08,6.73930419635e-08,9.56805933047e-08,1.78423963648e-07,1.63350732534e-05,2.10891836556e-08,2.01768749059e-08
Sonoma (NC),2016,All Other Buses,1972,20,DSL,0.00811534583217,3.22641637726e-08,3.67302944654e-08,8.77582987111e-08,1.58377629561e-07,1.42163521346e-05,1.73902732334e-08,1.66379777112e-08
Sonoma (NC),2016,All Other Buses,1972,25,DSL,0.00845181083942,2.42056817691e-08,2.75563261264e-08,7.86139163127e-08,1.49868437863e-07,1.32801711983e-05,1.58140157571e-08,1.51299084356e-08
Sonoma (NC),2016,All Other Buses,1972,30,DSL,0.0101626178031,2.54382358885e-08,2.89594951678e-08,8.09603454188e-08,1.67780909316e-07,1.49886922899e-05,1.72141492103e-08,1.64694727354e-08
Sonoma (NC),2016,All Other Buses,1972,35,DSL,0.0119830648613,2.64186209007e-08,3.0075588876e-08,8.15931698582e-08,1.86408767193e-07,1.67150343875e-05,1.85050119221e-08,1.77044932977e-08
Sonoma (NC),2016,All Other Buses,1972,40,DSL,0.0148751095927,2.9283110823e-08,3.33365926039e-08,8.67084016402e-08,2.21067896853e-07,1.98030920708e-05,2.11563103172e-08,2.02410976979e-08
Sonoma (NC),2016,All Other Buses,1972,45,DSL,0.0121807423404,2.18634957825e-08,2.48899256709e-08,6.12282642783e-08,1.75317353584e-07,1.56411964438e-05,1.61743933297e-08,1.54746962339e-08
Sonoma (NC),2016,All Other Buses,1972,50,DSL,0.0136322315439,2.29517488824e-08,2.61288189859e-08,6.00049179175e-08,1.93941178859e-07,1.70851836441e-05,1.71912550317e-08,1.64475689489e-08
Sonoma (NC),2016,All Other Buses,1972,55,DSL,0.0199767999912,3.26569534527e-08,3.71774556165e-08,7.89931107361e-08,2.86199206411e-07,2.47491289988e-05,2.44093932512e-08,2.33534537041e-08
Sonoma (NC),2016,All Other Buses,1972,60,DSL,0.024005472924,3.92175750694e-08,4.46462239242e-08,9.11506608932e-08,3.47341859043e-07,2.97150178886e-05,2.91101228576e-08,2.78508318285e-08
Sonoma (NC),2016,All Other Buses,1972,65,DSL,0.0037777789076,6.17173127035e-09,7.02604625116e-09,1.43445224023e-08,5.44786311929e-08,4.67629894958e-06,4.58110567025e-09,4.38292906681e-09
Sonoma (NC),2016,All Other Buses,1972,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
