Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Sutter (SV),2016,All Other Buses,1972,5,DSL,0.000135865211234,2.15134811024e-09,2.44914606012e-09,2.08845614622e-09,4.58820851912e-09,3.89019135559e-07,5.55932766068e-10,5.31883360695e-10
Sutter (SV),2016,All Other Buses,1972,10,DSL,0.000676285839221,8.66144884386e-09,9.86040018809e-09,9.71907206069e-09,2.00978957427e-08,1.75825108569e-06,2.42857172167e-09,2.32351278401e-09
Sutter (SV),2016,All Other Buses,1972,15,DSL,0.000912751152717,7.06125632506e-09,8.03870281415e-09,1.14128674452e-08,2.13736044665e-08,1.94846226711e-06,2.5155368427e-09,2.4067158324e-09
Sutter (SV),2016,All Other Buses,1972,20,DSL,0.000968005768521,3.84849854761e-09,4.38122264378e-09,1.04678890025e-08,1.89711719603e-08,1.69573930159e-06,2.0743274722e-09,1.98459298396e-09
Sutter (SV),2016,All Other Buses,1972,25,DSL,0.00100813961798,2.88727554784e-09,3.28694342808e-09,9.37713882446e-09,1.79520077311e-08,1.58407079535e-06,1.88631005911e-09,1.80470912094e-09
Sutter (SV),2016,All Other Buses,1972,30,DSL,0.00121220621526,3.03429571461e-09,3.45431469658e-09,9.65702300403e-09,2.00972802048e-08,1.78786473174e-06,2.05331923991e-09,1.96449355851e-09
Sutter (SV),2016,All Other Buses,1972,35,DSL,0.00142935078187,3.15123692288e-09,3.58744336048e-09,9.73250687378e-09,2.23246919683e-08,1.99378437379e-06,2.20729450816e-09,2.11180792481e-09
Sutter (SV),2016,All Other Buses,1972,40,DSL,0.0017743164852,3.49291586374e-09,3.97641882561e-09,1.03426563332e-08,2.6470130939e-08,2.36213067878e-06,2.52354377142e-09,2.41437638493e-09
Sutter (SV),2016,All Other Buses,1972,45,DSL,0.00145292992982,2.60789749139e-09,2.96889277743e-09,7.30336257305e-09,2.09965577169e-08,1.86569601558e-06,1.92929622092e-09,1.84583572042e-09
Sutter (SV),2016,All Other Buses,1972,50,DSL,0.00162606487082,2.73770530243e-09,3.11666908916e-09,7.15744071603e-09,2.32186685596e-08,2.03793611089e-06,2.05058840165e-09,1.9618808551e-09
