GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US06,06,California,12617280,20413,61489,154,67.4,0.1,64405,206,6.5,0.1,43476,481,0.7,0.1,45319,1536,12.7,0.1,77932,570,0.3,0.1,60087,2481,9.4,0.1,44969,247,3.0,0.1,58769,904,28.0,0.1,47206,197,50.3,0.1,72061,239,3.5,0.1,29452,454,35.6,0.1,64546,320,39.9,0.1,73775,302,21.0,0.1,44204,190,8666286,22818,70187,250,47.1,0.1,63605,415,52.9,0.1,75244,243,71.5,0.2,85968,279,19.8,0.1,36766,215,8.7,0.1,48216,485,3950994,11133,40639,170,52.8,0.2,35184,222,42.5,0.2,30219,185,10.2,0.1,65098,818,47.2,0.2,47118,358,34.4,0.1,39742,383,12.8,0.1,71780,706,30.8,(X),(X),(X),31.3,(X),(X),(X),26.8,(X),(X),(X)
0500000US06001,06001,"Alameda County, California",551734,1946,73775,762,50.9,0.3,81106,1011,14.0,0.2,41801,1447,0.6,0.1,50890,4333,24.3,0.2,92455,1624,0.7,0.1,72450,11220,5.7,0.2,55255,1693,3.8,0.2,66386,3423,16.1,0.2,56188,1185,41.8,0.2,88750,1155,3.4,0.2,30275,2352,37.4,0.3,79350,1655,39.9,0.2,87750,1422,19.3,0.2,47952,1328,362173,2646,90822,865,47.7,0.5,91206,1457,52.3,0.5,90566,1209,72.9,0.5,110223,1160,19.1,0.4,43353,1495,8.0,0.3,58520,3058,189561,2185,46284,1223,53.7,0.6,41682,1143,42.5,0.6,34645,1305,11.3,0.4,73924,3441,46.3,0.6,51419,1204,33.5,0.6,42315,1488,12.7,0.5,77513,2938,25.1,(X),(X),(X),25.2,(X),(X),(X),23.2,(X),(X),(X)
0500000US06003,06003,"Alpine County, California",377,67,61343,4265,83.8,6.6,66250,11283,0.0,8.9,-,**,9.3,4.2,35250,13747,1.6,1.7,61667,26987,0.5,1.1,-,**,0.5,0.9,-,**,4.2,3.9,19167,17341,1.3,1.5,38125,22887,83.6,6.5,66563,11230,2.1,1.8,37500,22702,20.7,8.7,88125,28137,43.2,10.4,61979,17339,34.0,9.1,58846,3260,262,61,71932,11389,37.0,12.2,86250,31310,63.0,12.2,62188,19682,74.4,11.4,92813,22646,16.0,9.8,70341,24268,9.5,6.9,24205,14833,115,36,26375,23851,48.7,16.4,42656,32499,48.7,16.4,42656,32499,0.0,25.8,-,**,51.3,16.4,24688,17851,42.6,15.8,21750,5602,8.7,8.4,61875,38884,34.5,(X),(X),(X),35.5,(X),(X),(X),32.2,(X),(X),(X)
0500000US06005,06005,"Amador County, California",13939,333,52964,3595,94.2,1.0,53787,3812,0.2,0.2,57083,65694,1.9,0.8,47849,29280,0.6,0.3,60694,82201,0.1,0.1,-,**,1.2,0.6,24625,30956,1.7,0.7,39946,17530,6.7,1.3,47396,28272,89.6,1.3,53015,3657,1.0,0.6,38188,17316,18.5,1.6,62135,14834,43.8,1.7,63819,5247,36.6,1.6,42562,4892,9131,443,68765,5438,29.7,2.0,75441,13657,70.3,2.0,67392,5412,80.8,3.1,75858,5624,12.8,2.5,35000,8409,6.4,1.8,56771,30879,4808,384,25045,2824,50.4,4.1,26206,3345,45.0,4.4,24436,2105,5.4,1.8,56250,23739,49.6,4.1,24015,4020,38.1,4.4,19508,3661,11.5,3.1,46250,29923,29.7,(X),(X),(X),29.2,(X),(X),(X),28.5,(X),(X),(X)
0500000US06007,06007,"Butte County, California",85215,881,43165,1130,88.4,0.6,44453,1277,1.1,0.2,38687,15178,1.1,0.2,41275,5323,2.8,0.3,38265,6095,0.2,0.1,21806,19873,2.4,0.3,33562,5480,4.1,0.4,34375,9188,11.0,0.5,35329,2868,81.3,0.6,45784,1842,9.2,0.6,23682,1665,27.2,0.6,49927,2344,37.1,0.6,53185,2228,26.6,0.6,38887,1927,51044,806,56934,1882,39.9,1.1,50900,2382,60.1,1.1,60751,1630,71.3,1.4,68651,1787,19.5,1.1,27867,2092,9.2,1.0,38526,4189,34171,905,25963,1251,54.9,1.6,25532,1654,41.9,1.7,22075,1233,13.0,1.2,37898,3736,45.1,1.6,26594,2294,31.2,1.7,22089,1671,13.9,1.2,37153,3085,26.9,(X),(X),(X),25.5,(X),(X),(X),27.2,(X),(X),(X)
0500000US06009,06009,"Calaveras County, California",18608,488,54936,3175,94.6,0.9,56238,3067,0.2,0.3,-,**,0.8,0.4,22344,36035,1.1,0.4,32404,36459,0.3,0.4,-,**,0.8,0.4,55650,33455,2.2,0.7,41432,13137,6.9,0.9,54467,2757,88.7,1.1,56632,3776,1.6,0.6,45000,16355,18.4,1.3,58462,7783,43.7,1.7,62165,4567,36.3,1.6,41713,5065,12609,610,67100,4833,29.3,2.5,69836,10851,70.7,2.5,65785,5200,81.8,2.5,76494,6377,11.4,2.2,36756,6475,6.8,1.6,46685,13585,5999,486,27912,3727,47.5,3.9,26022,5141,38.7,3.9,21596,5381,8.8,3.0,61875,21683,52.5,3.9,30763,10177,42.2,4.0,26729,5058,10.3,3.3,71679,24301,33.0,(X),(X),(X),34.1,(X),(X),(X),29.2,(X),(X),(X)
0500000US06011,06011,"Colusa County, California",6912,183,50503,3403,84.4,2.3,53602,4730,1.3,0.9,9046,13768,1.3,0.6,62697,18317,1.7,0.7,54196,44858,0.3,0.2,24583,39182,8.9,2.0,41331,7208,2.1,0.9,24250,13510,42.2,1.6,44186,3169,51.9,1.7,61030,3374,2.8,1.0,35833,14414,35.1,1.8,49525,5157,38.6,2.3,60907,3565,23.5,1.7,38149,4746,5147,215,56472,3382,46.2,3.0,47625,4430,53.8,3.0,61723,3990,74.1,3.4,62248,2908,14.2,2.7,26169,9547,11.7,2.8,42128,7216,1765,194,31055,2311,50.4,6.5,32482,8265,42.7,5.6,31197,3408,7.6,4.6,44401,17433,49.6,6.5,29141,4955,40.5,5.7,27250,7767,9.1,4.5,31250,3407,23.0,(X),(X),(X),24.1,(X),(X),(X),17.9,(X),(X),(X)
0500000US06013,06013,"Contra Costa County, California",380183,1319,79799,955,67.7,0.4,84319,1212,9.2,0.2,50516,2139,0.5,0.1,59942,10538,13.6,0.2,100190,2667,0.3,0.1,48987,13477,5.1,0.2,54594,2784,3.5,0.2,70981,6384,17.7,0.3,57855,1847,56.1,0.3,91965,1271,2.5,0.2,35413,3230,32.3,0.3,83137,1628,43.0,0.4,98376,1729,22.3,0.2,54732,1590,269678,2407,95087,1097,47.3,0.5,96240,2080,52.7,0.5,94400,1246,76.0,0.6,112180,1276,17.1,0.5,46626,2123,6.9,0.4,59667,4334,110505,2054,48476,1223,56.7,0.9,42809,1630,47.0,0.9,37445,1533,9.7,0.6,81023,5054,43.3,0.9,54971,2280,32.6,0.9,47768,2489,10.7,0.7,83026,6599,29.3,(X),(X),(X),29.7,(X),(X),(X),25.7,(X),(X),(X)
0500000US06015,06015,"Del Norte County, California",9527,369,39302,4825,84.5,2.1,40274,5120,2.3,1.5,73211,87508,5.5,1.2,38281,21665,2.0,1.2,23690,55958,0.1,0.1,28750,27626,0.7,0.6,63452,45304,4.9,1.3,26223,8132,7.5,1.7,21907,10592,78.8,2.2,41567,5661,3.8,1.5,11591,19596,24.0,2.5,50811,3439,42.0,2.4,43339,8038,30.2,2.3,32565,3619,5852,377,52452,4580,44.1,3.9,48052,9445,55.9,3.9,60145,7291,67.4,3.9,70852,10493,23.2,3.8,31632,7816,9.4,2.9,39745,11671,3675,350,21655,3353,57.7,5.4,21396,3135,50.1,4.8,20475,4307,7.6,3.5,22481,6664,42.3,5.4,22755,8493,36.1,4.7,17188,9560,6.3,2.7,50550,23034,30.7,(X),(X),(X),31.5,(X),(X),(X),28.5,(X),(X),(X)
