Region,PM2_5_RUNEX,PM10_RUNEX,CO2_RUNEX,NOx_RUNEX,NUM_CARS
Alameda,0.399774032,0.42073277,20513.33218,27.91343663,29997
Alpine,0.001736925,0.001829873,100.488297,0.161148945,25839
Amador,0.016568313,0.017419899,613.3138661,1.30031161,29916
Butte,0.058670064,0.061650216,2239.210772,4.567383333,27887
Calaveras,0.015807005,0.016630629,565.1332521,1.196425121,25702
Colusa,0.022523608,0.023678727,1097.375324,1.733426259,30040
Contra Costa,0.157123668,0.16586792,11212.41055,11.85552168,27579
Del Norte,0.007093044,0.007489482,336.3615579,0.622262367,28474
El Dorado,0.034492902,0.036383074,2050.256549,2.61045159,27349
Fresno,0.261521336,0.274283132,10370.36786,19.93346802,28370
Glenn,0.021007766,0.02207716,873.7005889,1.533988916,30004
Humboldt,0.052982345,0.055690954,1753.560369,4.093271689,26967
Imperial,0.063888105,0.067103559,3382.220929,6.339639893,30268
Inyo,0.015281681,0.016104934,878.3013561,1.323930952,28786
Kern,0.442174517,0.463921278,19489.46601,36.61088462,30619
Kings,0.067209813,0.070500964,2935.705949,6.033019679,28873
Lake,0.022067714,0.023225254,763.2554958,1.535916357,24981
Lassen,0.013084502,0.013791407,586.2941548,1.083025974,28735
Los Angeles,1.703454477,1.801595898,118065.1305,123.8603577,31179
Madera,0.064029086,0.067308748,3113.628057,5.402689618,28860
Marin,0.05623666,0.059309992,3493.20994,3.641762143,29686
Mariposa,0.005934514,0.006265826,264.7877696,0.516957011,23723
Mendocino,0.051430974,0.054031981,1672.212049,3.77592849,30156
Merced,0.134361296,0.141024311,5639.396071,11.50540425,30379
Modoc,0.005844936,0.006162003,232.7273103,0.45084537,28022
Mono,0.009357348,0.009853319,502.6502543,0.824622602,28041
Monterey,0.095935816,0.10121967,5208.119511,7.057704007,30623
Napa,0.030218154,0.031797859,1519.599567,2.22056528,25637
Nevada,0.038676987,0.040665808,1700.872726,3.259176656,29952
Orange,0.470869229,0.497446077,36440.39485,31.02205738,29754
Placer,0.082212036,0.086487095,4579.290642,6.213383523,30628
Plumas,0.011914802,0.01255707,442.5212194,0.903344555,29261
Riverside,0.451636047,0.475114757,26632.6381,35.42538705,30804
Sacramento,0.258313164,0.272569948,17144.82477,19.5017437,30364
San Benito,0.034077739,0.03573325,1208.400254,2.570257908,24117
San Bernardino,0.486663289,0.512780157,31831.05079,42.02871525,31160
San Diego,0.530481523,0.559967993,38035.2373,39.02301587,29107
San Francisco,0.085206558,0.089797957,4606.44587,4.814630075,27135
San Joaquin,0.198345363,0.208737857,11087.11754,15.41261494,30121
San Luis Obispo,0.07743339,0.081514091,3902.983471,5.742167534,30877
San Mateo,0.111577736,0.117792195,7816.25939,6.594294992,27270
Santa Barbara,0.091451013,0.09632808,4885.907653,6.69966694,30840
Santa Clara,0.286195056,0.3021873,20302.3074,20.14130631,28272
Santa Cruz,0.04617189,0.048666873,2027.417437,2.966374351,27348
Shasta,0.088719226,0.093166363,3394.511026,6.885254066,30985
Sierra,0.002394103,0.002535117,143.1006939,0.208966777,27455
Siskiyou,0.049711163,0.05225058,1923.593666,3.978591794,29492
Solano,0.115587337,0.121862183,7684.773833,9.201823775,29742
Sonoma,0.098297171,0.103452886,4530.400493,6.589833299,28755
Stanislaus,0.139562638,0.146605685,6052.739036,10.51352445,27893
Sutter,0.039330987,0.041254467,1497.788552,3.06519586,24196
Tehama,0.051094592,0.053642704,1929.048188,4.039504152,30261
Trinity,0.012002355,0.012637916,405.2814038,0.920196218,28999
Tulare,0.115274282,0.12109121,5210.956074,8.917730462,27467
Tuolumne,0.015294643,0.016124024,608.2618431,1.241389956,25737
Ventura,0.124004974,0.130949949,8600.55566,8.64109249,27771
Yolo,0.067900342,0.071375182,3384.374605,4.657001831,30163
Yuba,0.016359179,0.017235071,805.0957407,1.258582719,25765
